id,naam,slug,website,plaats,provincie,lat,lon,cedris_lid,crawl_modus,beschrijving,laatst_gecontroleerd
org023,Ferm Werk,ferm-werk,https://fermwerk.nl,Woerden,Utrecht,52.088,4.887,ja,volledig,Ferm Werk is een werkontwikkelbedrijf met de hoofdvestiging in Woerden (Utrecht). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org024,Fijnder,fijnder,https://fijnder.nl,Lichtenvoorde,Gelderland,51.989,6.572,ja,volledig,"Vanuit Groenlo verzorgt Fijnder onder meer montagewerk, verpakken en schoonmaak voor opdrachtgevers in de regio.",2026-09-25
org025,Gelre Werkt!,gelre-werkt,https://gelrewerkt.nl,Zutphen,Gelderland,52.138,6.197,ja,volledig,Gelre Werkt! is een werkontwikkelbedrijf met de hoofdvestiging in Zutphen (Gelderland). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org026,Gemeente Ameland,gemeente-ameland,https://ameland.nl,Ballum,Friesland,53.448,5.53,ja,overslaan,"Bij Gemeente Ameland is het werkbedrijf onderdeel van de gemeentelijke organisatie, met Ballum (Friesland) als standplaats. De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.",2026-09-25
org027,Gemeente Breda,gemeente-breda,https://breda.nl,Breda,Noord-Brabant,51.589,4.775,ja,overslaan,"Bij Gemeente Breda is het werkbedrijf onderdeel van de gemeentelijke organisatie, met Breda (Noord-Brabant) als standplaats. De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.",2026-09-25
org028,Gemeente Hellendoorn/Stichting Noest,gemeente-hellendoorn-stichting-noest,https://hellendoorn.nl,Nijverdal,Overijssel,52.364,6.459,ja,overslaan,Gemeente Hellendoorn/Stichting Noest werkt vanuit Nijverdal (Overijssel). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org029,Gemeente Noordenveld,gemeente-noordenveld,https://gemeentenoordenveld.nl,Roden,Drenthe,53.138,6.428,ja,overslaan,"Bij Gemeente Noordenveld is het werkbedrijf onderdeel van de gemeentelijke organisatie, met Roden (Drenthe) als standplaats. De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.",2026-09-25
org030,Gemeente Weststellingwerf,gemeente-weststellingwerf,https://weststellingwerf.nl,Wolvega,Friesland,52.877,5.981,ja,overslaan,"Bij Gemeente Weststellingwerf is het werkbedrijf onderdeel van de gemeentelijke organisatie, met Wolvega (Friesland) als standplaats. De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.",2026-09-25
org031,GOwerkt,gowerkt,https://goeree-overflakkee.nl/gowerkt,Middelharnis,Zuid-Holland,51.757,4.167,ja,pad,GOwerkt is onderdeel van de gemeente Goeree-Overflakkee en is gevestigd in Middelharnis (Zuid-Holland). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org032,GR Sociaal Drechtsteden X Drechtwerk,gr-sociaal-drechtsteden-x-drechtwerk,https://socialedienstdrechtsteden.nl,Dordrecht,Zuid-Holland,51.814,4.69,ja,volledig,GR Sociaal Drechtsteden X Drechtwerk is een werkontwikkelbedrijf met de hoofdvestiging in Dordrecht (Zuid-Holland). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org033,HW Werkt!,hw-werkt,https://hwwerkt.nl,Oud-Beijerland,Zuid-Holland,51.835,4.419,ja,volledig,"Vanuit Oud-Beijerland verzorgt HW Werkt! onder meer assemblage, montagewerk, verpakken en magazijnwerk voor opdrachtgevers in de regio, naast één andere werksoort.",2026-09-25
org034,IBN,ibn,https://ibn.nl,Uden,Noord-Brabant,51.66,5.618,ja,volledig,"IBN is een werkontwikkelbedrijf in Uden. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, groenonderhoud en schoonmaak, naast 7 andere werksoorten.",2026-09-25
org035,iederz,iederz,https://iederz.nl,Groningen,Groningen,53.219,6.567,ja,volledig,"Werkontwikkelbedrijf iederz (Groningen) neemt werk over op het gebied van assemblage, verpakken, postbezorging en groenonderhoud, naast 4 andere werksoorten.",2026-09-25
org036,IJmond Werkt!,ijmond-werkt,https://ijmondwerkt.com,Beverwijk,Noord-Holland,52.487,4.655,ja,volledig,"Vanuit Heemskerk verzorgt IJmond Werkt! onder meer assemblage, montagewerk, verpakken en groenonderhoud voor opdrachtgevers in de regio, naast 2 andere werksoorten. Er zijn ook vestigingen in Beverwijk en Uitgeest.",2026-09-25
org037,Impact,impact,https://impact.nl,Kampen,Overijssel,52.558,5.917,ja,volledig,"Impact is een werkontwikkelbedrijf in Kampen. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, productiewerk en groenonderhoud, naast 2 andere werksoorten. Er is ook een vestiging in Dronten.",2026-09-25
org038,Inclusief Groep,inclusief-groep,https://inclusiefgroep.nl,Nunspeet,Gelderland,52.36,5.784,ja,volledig,"Werkontwikkelbedrijf Inclusief Groep (Nunspeet) neemt werk over op het gebied van assemblage, verpakken, magazijnwerk en schoonmaak, naast 6 andere werksoorten. Er zijn ook vestigingen in Ermelo, Harderwijk en Nijkerk.",2026-09-25
org039,Intos,intos,https://intos-gennep.nl,Heijen,Limburg,51.726,5.93,ja,volledig,"Vanuit Heijen verzorgt Intos onder meer montagewerk, verpakken en productiewerk voor opdrachtgevers in de regio. Er is ook een vestiging in Gennep.",2026-09-25
org040,IW4,iw4,https://iw4.nl,Veenendaal,Utrecht,52.027,5.558,ja,volledig,"IW4 is een werkontwikkelbedrijf in Veenendaal. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, schoonmaak en catering, naast 5 andere werksoorten.",2026-09-25
org041,Kansis,kansis,https://kansis.nl,Breukelen,Utrecht,52.17,4.987,ja,volledig,"Werkontwikkelbedrijf Kansis (Breukelen) neemt werk over op het gebied van assemblage, verpakken, magazijnwerk en groenonderhoud, naast 6 andere werksoorten.",2026-09-25
org042,KempenPlus,kempenplus,https://kempenplus.com,Bladel,Noord-Brabant,51.365,5.217,ja,volledig,"Vanuit Bladel verzorgt KempenPlus onder meer assemblage, verpakken, metaalbewerking en groenonderhoud voor opdrachtgevers in de regio, naast 7 andere werksoorten.",2026-09-25
org043,KonnecteD,konnected,https://konnected.nl,Deventer,Overijssel,52.254,6.156,ja,volledig,"KonnecteD is een werkontwikkelbedrijf in Deventer. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, magazijnwerk en metaalbewerking, naast 6 andere werksoorten.",2026-09-25
org044,Laborijn,laborijn,https://laborijn.nl,Doetinchem,Gelderland,51.963,6.296,ja,volledig,"Werkontwikkelbedrijf Laborijn (Doetinchem) neemt werk over op het gebied van assemblage, montagewerk, verpakken en productiewerk.",2026-09-25
org045,Larcom,larcom,https://larcom.nl,Ommen,Overijssel,52.524,6.422,ja,volledig,"Vanuit Ommen verzorgt Larcom onder meer assemblage, verpakken, magazijnwerk en laswerk voor opdrachtgevers in de regio, naast 8 andere werksoorten.",2026-09-25
org046,Midwerk,midwerk,https://midwerk.nl,Sappemeer,Groningen,53.178,6.793,ja,volledig,"Midwerk is een werkontwikkelbedrijf in Sappemeer. Opdrachtgevers kunnen er terecht voor verpakken, groenonderhoud, schoonmaak en een wasserij, naast 3 andere werksoorten.",2026-09-25
org047,MidZuid,midzuid,https://midzuid.nl,Oosterhout,Noord-Brabant,51.641,4.862,ja,volledig,"Werkontwikkelbedrijf MidZuid (Oosterhout) neemt werk over op het gebied van assemblage, verpakken, magazijnwerk en groenonderhoud, naast 5 andere werksoorten.",2026-09-25
org048,MTB,mtb,https://mtb.nl,Maastricht,Limburg,50.851,5.69,ja,volledig,"Vanuit Maastricht verzorgt MTB onder meer assemblage, verpakken, magazijnwerk en metaalbewerking voor opdrachtgevers in de regio, naast 8 andere werksoorten.",2026-09-25
org049,NLW Groep,nlw-groep,https://nlw.nl,Venray,Limburg,51.527,5.975,ja,volledig,"NLW Groep is een werkontwikkelbedrijf in Venray. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, magazijnwerk en schoonmaak, naast 7 andere werksoorten. Er zijn ook vestigingen in Panningen en Horst.",2026-09-25
org050,NoordWestGroep,noordwestgroep,https://noordwestgroep.nl,Steenwijk,Overijssel,52.787,6.12,ja,volledig,"Werkontwikkelbedrijf NoordWestGroep (Steenwijk) neemt werk over op het gebied van assemblage, verpakken en catering.",2026-09-25
org051,Novatec,novatec,https://novatec.nl,Tolbert,Groningen,53.177,6.425,ja,volledig,"Vanuit Leek verzorgt Novatec onder meer assemblage, verpakken, poedercoaten en spuitwerk en een kwekerij voor opdrachtgevers in de regio, naast 3 andere werksoorten.",2026-09-25
org052,Ontplooj,ontplooj,https://ontplooj.nl,Almelo,Overijssel,52.356,6.661,ja,volledig,"Ontplooj is een werkontwikkelbedrijf in Almelo. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, schoonmaak en catering, naast 2 andere werksoorten.",2026-09-25
org053,Ontwikkelplein Het Hogeland,ontwikkelplein-het-hogeland,https://hethogeland.nl,Uithuizen,Groningen,53.406,6.676,ja,overslaan,Ontwikkelplein Het Hogeland is onderdeel van de gemeente Het Hogeland en is gevestigd in Uithuizen (Groningen). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org054,Orionis Walcheren,orionis-walcheren,https://orioniswalcheren.nl,Vlissingen,Zeeland,51.443,3.574,ja,volledig,"Vanuit Vlissingen verzorgt Orionis Walcheren onder meer assemblage, verpakken, magazijnwerk en metaalbewerking voor opdrachtgevers in de regio, naast 10 andere werksoorten.",2026-09-25
org055,Pantar,pantar,https://pantar.nl,Diemen,Noord-Holland,52.338,4.961,ja,volledig,"Pantar is een werkontwikkelbedrijf in Diemen. Opdrachtgevers kunnen er terecht voor magazijnwerk, transport, groenonderhoud en postkamerwerk, naast 2 andere werksoorten. Er is ook een vestiging in Amsterdam.",2026-09-25
org056,Particibaan,particibaan,https://particibaan.nl,Rijswijk,Zuid-Holland,52.041,4.32,ja,volledig,Particibaan is een werkontwikkelbedrijf met de hoofdvestiging in Rijswijk (Zuid-Holland). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org057,Patijnenburg,patijnenburg,https://patijnenburg.nl,Naaldwijk,Zuid-Holland,52.002,4.203,ja,volledig,"Vanuit Naaldwijk verzorgt Patijnenburg onder meer assemblage, verpakken, magazijnwerk en groenonderhoud voor opdrachtgevers in de regio, naast 5 andere werksoorten.",2026-09-25
org058,Probedrijven,probedrijven,https://probedrijven.nl,Schagen,Noord-Holland,52.787,4.8,ja,volledig,"Probedrijven is een werkontwikkelbedrijf in Schagen. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, magazijnwerk en groenonderhoud, naast 9 andere werksoorten. Er is ook een vestiging in Den Helder.",2026-09-25
org059,Promen,promen,https://promen.nl,Gouda,Zuid-Holland,52.017,4.709,ja,volledig,"Werkontwikkelbedrijf Promen (Gouda) neemt werk over op het gebied van assemblage, verpakken, magazijnwerk en groenonderhoud, naast 6 andere werksoorten. Er is ook een vestiging in Capelle aan den IJssel.",2026-09-25
org060,Provalu,provalu,https://provalu.nl,Voorhout,Zuid-Holland,52.213,4.479,ja,volledig,"Vanuit Voorhout verzorgt Provalu onder meer assemblage, verpakken, postbezorging en groenonderhoud voor opdrachtgevers in de regio, naast 3 andere werksoorten.",2026-09-25
org061,Reestmond,reestmond,https://reestmond.nl,Meppel,Drenthe,52.696,6.194,ja,volledig,"Reestmond is een werkontwikkelbedrijf in Meppel. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, orderpicking en schoonmaak, naast 5 andere werksoorten.",2026-09-25
org062,Rijnvicus,rijnvicus,https://rijnvicus.nl,Alphen aan den Rijn,Zuid-Holland,52.129,4.657,ja,volledig,"Werkontwikkelbedrijf Rijnvicus (Alphen aan den Rijn) neemt werk over op het gebied van assemblage, verpakken, magazijnwerk en metaalbewerking, naast 14 andere werksoorten.",2026-09-25
org063,Risse Groep,risse-groep,https://risse.nl,Weert,Limburg,51.252,5.706,ja,volledig,"Vanuit Weert verzorgt Risse Groep onder meer assemblage, montagewerk, verpakken en magazijnwerk voor opdrachtgevers in de regio.",2026-09-25
org064,Rotterdam Inclusief,rotterdam-inclusief,https://rotterdam.nl/rotterdam-inclusief,Rotterdam,Zuid-Holland,51.924,4.477,ja,pad,Rotterdam Inclusief is onderdeel van de gemeente Rotterdam en is gevestigd in Rotterdam (Zuid-Holland). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org065,Scalabor,scalabor,https://scalabor.nl,Arnhem,Gelderland,51.985,5.909,ja,volledig,"Werkontwikkelbedrijf Scalabor (Arnhem) neemt werk over op het gebied van assemblage, verpakken, magazijnwerk en meubels op maat, naast 11 andere werksoorten.",2026-09-25
org066,Senzer,senzer,https://senzer.nl,Helmond,Noord-Brabant,51.482,5.661,ja,volledig,"Vanuit Helmond verzorgt Senzer onder meer assemblage, verpakken, productiewerk en groenonderhoud voor opdrachtgevers in de regio, naast 4 andere werksoorten.",2026-09-25
org067,Spaarne Werkt,spaarne-werkt,https://spaarnewerkt.nl,Cruquius,Noord-Holland,52.337,4.633,ja,volledig,"Spaarne Werkt is een werkontwikkelbedrijf in Cruquius. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, magazijnwerk en metaalbewerking, naast 13 andere werksoorten.",2026-09-25
org068,StadswerkSW,stadswerksw,https://stadswerksw.nl,Alkmaar,Noord-Holland,52.632,4.748,ja,volledig,StadswerkSW is een werkontwikkelbedrijf met de hoofdvestiging in Alkmaar (Noord-Holland). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org069,Stark,stark,https://wijzijnstark.nl,Hoogeveen,Drenthe,52.724,6.478,ja,volledig,"Vanuit Hoogeveen verzorgt Stark onder meer assemblage, verpakken, houtbewerking en groenonderhoud voor opdrachtgevers in de regio, naast 2 andere werksoorten.",2026-09-25
org070,Stichting MOA,stichting-moa,https://moa-werkt.nl,Surhuisterveen,Friesland,53.182,6.173,ja,volledig,"Stichting MOA is een werkontwikkelbedrijf in Surhuisterveen. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, productiewerk en groenonderhoud, naast 4 andere werksoorten.",2026-09-25
org071,Stroomopwaarts,stroomopwaarts,https://stroomopwaarts.nl,Maassluis,Zuid-Holland,51.923,4.254,ja,volledig,Stroomopwaarts is een werkontwikkelbedrijf met de hoofdvestiging in Maassluis (Zuid-Holland). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org072,SWB,swb,https://swb.nl,Hengelo,Overijssel,52.265,6.794,ja,volledig,"Vanuit Hengelo verzorgt SWB onder meer assemblage, verpakken, productiewerk en beheer van de openbare ruimte voor opdrachtgevers in de regio, naast 2 andere werksoorten.",2026-09-25
org073,Tiem,tiem,https://tiem.nl,Zwolle,Overijssel,52.517,6.092,ja,volledig,"Tiem is een werkontwikkelbedrijf in Zwolle. Opdrachtgevers kunnen er terecht voor montagewerk, verpakken, het verwerken van levensmiddelen en administratief werk.",2026-09-25
org074,Tomingroep,tomingroep,https://tomingroep.nl,Hilversum,Noord-Holland,52.224,5.175,ja,volledig,"Werkontwikkelbedrijf Tomingroep (Hilversum) neemt werk over op het gebied van assemblage, verpakken, magazijnwerk en groenonderhoud, naast 7 andere werksoorten. Er zijn ook vestigingen in Almere en Naarden.",2026-09-25
org075,UW,uw,https://uw.nl,Utrecht,Utrecht,52.09,5.121,ja,volledig,"Vanuit Utrecht verzorgt UW onder meer assemblage, verpakken, metaalbewerking en groenonderhoud voor opdrachtgevers in de regio, naast 8 andere werksoorten. Er is ook een vestiging in Houten.",2026-09-25
org076,Vakmensen,vakmensen,https://123vakmensen.nl,Zwolle,Overijssel,52.517,6.092,ja,volledig,"Vakmensen is een werkontwikkelbedrijf in Zwolle. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, magazijnwerk en houtbewerking, naast 12 andere werksoorten.",2026-09-25
org077,Vidar,vidar,https://vidar.nl,Sittard,Limburg,50.999,5.869,ja,volledig,"Werkontwikkelbedrijf Vidar (Sittard) neemt werk over op het gebied van assemblage, verpakken, productiewerk en horeca, naast 3 andere werksoorten.",2026-09-25
org078,Voorne Putten Werkt,voorne-putten-werkt,https://vpwerkt.nl,Spijkenisse,Zuid-Holland,51.86,4.33,ja,volledig,"Vanuit Spijkenisse verzorgt Voorne Putten Werkt onder meer assemblage, verpakken, magazijnwerk en groenonderhoud voor opdrachtgevers in de regio, naast 8 andere werksoorten. Er is ook een vestiging in Rockanje.",2026-09-25
org079,WAA groep,waa-groep,https://waagroep.nl,Venlo,Limburg,51.37,6.173,ja,volledig,WAA groep is een werkontwikkelbedrijf in Venlo. Opdrachtgevers kunnen er terecht voor productiewerk.,2026-09-25
org080,Wedeka Bedrijven,wedeka-bedrijven,https://wedeka.nl,Stadskanaal,Groningen,52.985,6.952,ja,volledig,"Werkontwikkelbedrijf Wedeka Bedrijven (Stadskanaal) neemt werk over op het gebied van assemblage, verpakken, magazijnwerk en metaalbewerking, naast 12 andere werksoorten.",2026-09-25
org081,Weener XL,weener-xl,https://weenerxl.nl,'s-Hertogenbosch,Noord-Brabant,51.689,5.304,ja,volledig,"Vanuit 's-Hertogenbosch verzorgt Weener XL onder meer assemblage, verpakken, transport en groenonderhoud voor opdrachtgevers in de regio, naast 3 andere werksoorten.",2026-09-25
org082,Werk en Inkomen Lekstroom,werk-en-inkomen-lekstroom,https://wil-lekstroom.nl,Nieuwegein,Utrecht,52.033,5.086,ja,volledig,Werk en Inkomen Lekstroom is een werkontwikkelbedrijf met de hoofdvestiging in Nieuwegein (Utrecht). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org083,Werkbedrijf De Binnenbaan,werkbedrijf-de-binnenbaan,https://debinnenbaan.nl,Zoetermeer,Zuid-Holland,52.06,4.494,ja,volledig,"Werkontwikkelbedrijf Werkbedrijf De Binnenbaan (Zoetermeer) neemt werk over op het gebied van assemblage, verpakken, productiewerk en groenonderhoud, naast 3 andere werksoorten. Er zijn ook vestigingen in Bleiswijk, Rijswijk, Nootdorp en Voorburg.",2026-09-25
org084,Werkbedrijf De Bolder,werkbedrijf-de-bolder,https://deboldertexel.nl,Den Burg,Noord-Holland,53.05,4.796,ja,volledig,Werkbedrijf De Bolder is een werkontwikkelbedrijf met de hoofdvestiging in Den Burg (Noord-Holland). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org085,Werkbedrijf Eemsdelta,werkbedrijf-eemsdelta,https://eemsdelta.nl,Appingedam,Groningen,53.318,6.862,ja,overslaan,Werkbedrijf Eemsdelta is onderdeel van de gemeente Eemsdelta en is gevestigd in Appingedam (Groningen). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org086,Werkbedrijf Rijk van Nijmegen,werkbedrijf-rijk-van-nijmegen,https://werkbedrijfrvn.nl,Nijmegen,Gelderland,51.843,5.858,ja,volledig,Werkbedrijf Rijk van Nijmegen is een werkontwikkelbedrijf met de hoofdvestiging in Nijmegen (Gelderland). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org087,Werkkracht,werkkracht-ede,https://werkkracht.nl,Ede,Gelderland,52.043,5.664,ja,volledig,Vanuit Ede verzorgt Werkkracht onder meer verpakken voor opdrachtgevers in de regio.,2026-09-25
org088,Werkleerbedrijf Lucrato,werkleerbedrijf-lucrato,https://lucrato.nl,Apeldoorn,Gelderland,52.211,5.97,ja,volledig,"Werkleerbedrijf Lucrato is een werkontwikkelbedrijf in Apeldoorn. Opdrachtgevers kunnen er terecht voor assemblage, montagewerk, verpakken en productiewerk. Er is ook een vestiging in Heerde.",2026-09-25
org089,Werkom,werkom,https://werkom.nl,Purmerend,Noord-Holland,52.503,4.961,ja,volledig,"Werkontwikkelbedrijf Werkom (Purmerend) neemt werk over op het gebied van assemblage, verpakken, magazijnwerk en groenonderhoud, naast 13 andere werksoorten. Er is ook een vestiging in Zaandam.",2026-09-25
org090,Werkplein Drentsche Aa,werkplein-drentsche-aa,https://wpda.nl,Assen,Drenthe,52.993,6.563,ja,volledig,Vanuit Assen verzorgt Werkplein Drentsche Aa onder meer naai- en stoffeerwerk voor opdrachtgevers in de regio.,2026-09-25
org091,WerkSaam Westfriesland,werksaam-westfriesland,https://werksaamwf.nl,Hoorn,Noord-Holland,52.644,5.06,ja,volledig,"WerkSaam Westfriesland is een werkontwikkelbedrijf in Hoorn. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, orderpicking en groenonderhoud, naast 11 andere werksoorten.",2026-09-25
org092,Werkse!,werkse,https://werkse.nl,Den Hoorn,Zuid-Holland,51.998,4.325,ja,volledig,"Werkontwikkelbedrijf Werkse! (Den Hoorn) neemt werk over op het gebied van assemblage, fulfilment, magazijnwerk en groenonderhoud, naast 14 andere werksoorten.",2026-09-25
